Text,Positive,Neutral,Negative,Compound,Category
"The Most Dangerous People on the Internet in 2024: From Elon Musk and Donald Trump to state-sponsored hackers and crypto scammers, this was the year the online agents of chaos gained ground.",0.067,0.749,0.183,-0.6697,Negative
"Geopolitics and AI will affect the chip industry in 2025 | KPMG: AI is making semiconductor leaders more optimistic about 2025, but headwinds could come from geopolitical and talent retention concerns.",0.164,0.836,0.0,0.6701,Positive
"Moselle Lock Closure: How To Mitigate Supply Chain Disruption: As a result of the Moselle River accident, this critical waterway is now out of service for many months, which could have economic consequences.",0.0,0.779,0.221,-0.8034,Negative
"NATO is working to reroute data through space, fearing Russia could slice undersea internet cables: Threats to the West's vital communications networks are escalating.",0.074,0.707,0.219,-0.6486,Negative
"The FDA says the shortage of popular weight loss drug Zepbound is over. Here's what that means for patients.: The weight loss medication tirzepatide (Mounjaro and Zepbound) is no longer in shortage, according to the FDA. Access to cheaper versions could end.",0.056,0.726,0.218,-0.7184,Negative
"4 Priorities Businesses Must Master For Success In 2025: As the business landscape evolves, leaders must focus on supply chain resilience, sustainability, workforce adaptability, and AI-driven innovation to stay competitive.",0.235,0.765,0.0,0.7906,Positive
Can digital resilience be achieved beyond the IT perimeter?: To meet the current and future needs for digital resilience organizations need to see their entire digital supply chain.,0.0,1.0,0.0,0.0,Neutral
Is Bringing Manufacturing Home Just An American Dream?: Tariffs and Covid-19 supply chain disruptions have made the need for domestic manufacturing more apparent than ever. But manufacturing at home is easier said than done.,0.099,0.856,0.045,0.4588,Positive
"ASEAN’s Second Renaissance Is Now: The COVID-19 pandemic and an increasingly volatile global environment have highlighted supply-chain vulnerabilities that could jeopardize ASEAN’s economic outlook. To reduce these risks, the group, under Malaysia’s chairmanship next year, must diversify its s…",0.0,0.909,0.091,-0.4019,Negative
"US market recovery to boost Indian tech stocks: Manish Sonthalia: ​So, anybody and everybody can win who can get the supply chain and the unit economics right, but more comfortable in public portfolios in companies which have already demonstrated profitability and growth, so that is the reason why we have Zomato as a prefer…",0.24,0.76,0.0,0.9348,Positive
"20 Essential Elements Of A Robust Business Continuity Plan: When disaster strikes, a well-crafted business continuity plan can mean the difference between seamless recovery and prolonged disruption.",0.074,0.646,0.28,-0.7717,Negative
How Overseas Conflicts Impact Trade Finance: The interconnectedness of global trade means no nation is immune to the impacts of geopolitical conflicts.,0.08,0.652,0.268,-0.6369,Negative
"The Egg Shortage, Explained—Why Are Eggs So Expensive?: Learn why there’s an egg shortage in 2024, how bird flu has impacted chicken farms, and what it means for consumers in California and beyond.",0.0,0.82,0.18,-0.6808,Negative
"Q&A: How AI helps make anti-fragile supply chains the new normal in 2025: Supply chains, ever more complex worldwide, are nonetheless on course to excel at handling whatever disruption comes their way. With innovative use of AI applied to lessons learned from the global market disruptions of recent years, global and domestic supply…",0.138,0.782,0.08,0.5574,Positive
"Machine identities are the next big target for attackers: 86% of organizations had a security incident related to their cloud native environment within the last year, according to Venafi. As a result, 53% of organizations had to delay an application launch or slow down production time; 45% suffered outages or disrup…",0.042,0.795,0.163,-0.7783,Negative
"Five Cloud-Based Digital Transformations For Fast ROI In Manufacturing: For manufacturers looking to realize quick returns on investment from cloud transformation initiatives, the focus should be on high-impact, data-driven use cases.",0.0,1.0,0.0,0.0,Neutral
Nvidia unveils a fleet manager for warehouse robots: One of the many AI Blueprints launched by Nvidia at CES is designed to help you manage your fleet of robots.,0.139,0.861,0.0,0.4939,Positive
"U.S. Meatpacking Industry Faces Crisis As Trump's Deportation Plans Threaten Workforce: Heavily dependent on immigrant labor, the sector braces for disruption as deportations threaten labor shortages, higher prices, and operational instability.",0.0,0.66,0.34,-0.9081,Negative
Rare Earth Ban Fuels Doubt About The Viability Of The US Auto Industry: The transition to electric vehicles will happen far faster than is commonly understood. The Chinese bans on rare earth adds headwinds for US EV manufacturers.,0.0,0.855,0.145,-0.7269,Negative
"Accelerating Growth During Uncertainty: 4 Strategic Catalysts For CEOs: Uncertainty in the marketplace demands CEOs proactively plan, define strategic pivots and galvanize teams to move their organizations forward.",0.083,0.764,0.153,-0.296,Negative
"Top 10 Tech Articles Of 2024: As 2024 comes to a close, here's a look back at some of the tech stories that caught my eye in the past year.",0.062,0.938,0.0,0.2023,Positive
"Good Times Restaurants Inc. (GTIM) Q4 2024 Earnings Call Transcript: Good Times Restaurants Inc. (NASDAQ:GTIM) Q4 2024 Results Conference Call December 12, 2024 5:00 PM ETCompany ParticipantsKeri August - Senior Vice...",0.172,0.828,0.0,0.7003,Positive
"Post-Globalization: 5 Steps For Business Leaders Outside The US: How global executives are assessing the US presidential election, taking quick tactical action, and making strategic plans.",0.0,1.0,0.0,0.0,Neutral
"Motor finance in 2025: driving the shift to BEVs amid industry disruption: The road to electrification continues to reshape the automotive landscape, with affordability, infrastructure, and new market entrants poised to dominate the...",0.056,0.833,0.111,-0.25,Negative
"Fact-check: Donald Trump’s latest claims on tariffs, murders and more: Trump discussed deportation, birthright citizenship, tariffs, false claims, and pardons for January 6 convicts.",0.081,0.772,0.147,-0.4215,Negative
Cracking Down On Gift Card Fraud: This increasingly prevalent form of theft leaves victims frustrated and retailers liable.,0.11,0.53,0.36,-0.765,Negative
"AI Focal Point of Cybersecurity Outlook for 2025, Says Experian: Artificial intelligence is at the center of Experian’s annual breach forecast due to its enabling capabilities. Michael Bruemmer, vice president of global data breach resolution at information services company, said that while ransomware and breaches affectin…",0.064,0.936,0.0,0.4767,Positive
"Economic Forecast For 2025 And Beyond: Growth With Continued Inflation: The economy will grow but at a slower pace than 2024. Inflation will remain above the Fed's target, with Trump’s policies limiting production while stimulating spending.",0.146,0.854,0.0,0.6858,Positive
"Honda-Nissan Mega Merger Plans: A Bold Move to Survive EV Disruption: HMC-NSANY's potential $50B merger seeks to tackle EV challenges, cut costs and compete with Tesla and BYD, reshaping the future of Japan's auto industry.",0.101,0.779,0.119,-0.1779,Negative
"As Bird Flu Concerns Increase, Don’t Forget About Normalcy Bias: Remember how few governments, businesses, and individual decision-makers were able to respond effectively to the last pandemic. The primary culprit was normalcy bias.",0.132,0.684,0.185,-0.0258,Neutral
"Theory Of Resiliency: How Manufacturers Make 2025 The Year Of Einstein: The challenges of the last five years have tested the industry’s ingenuity like never before.  Amidst the challenges, companies have found routes to resilence.",0.137,0.863,0.0,0.4767,Positive
"Hacking campaign compromised at least 16 Chrome browser extensions: Threat actors compromised at least 16 Chrome browser extensions leading to the exposure of data from over 600,000 users. A supply chain attack compromised 16 Chrome browser extensions, exposing over 600,000 users. Threat actors targeted the publishers of the …",0.0,0.782,0.218,-0.9001,Negative
"Malicious npm packages target Ethereum developers: Malicious npm packages target Ethereum developers, impersonating Hardhat plugins to steal private keys and sensitive data. Hardhat, by the Nomic Foundation, is an essential Ethereum tool, enabling streamlined smart contract and dApp development with customiza…",0.06,0.869,0.071,-0.128,Negative
SECURITY AFFAIRS MALWARE NEWSLETTER – ROUND 27: Security Affairs Malware newsletter includes a collection of the best articles and research on malware in the international landscape. 7-Zip Zero-Day Exploit Dropped: A New Playground for Infostealer & Supply Chain Attacks   Quasar RAT Disguised as an npm Pac…,0.187,0.691,0.123,0.6523,Positive
SECURITY AFFAIRS MALWARE NEWSLETTER – ROUND 25: Security Affairs Malware newsletter includes a collection of the best articles and research on malware in the international landscape. Vishing via Microsoft Teams Facilitates DarkGate Malware Intrusion   Spyware distributed through Amazon Appstore   BADBOX Bo…,0.246,0.754,0.0,0.8868,Positive
"How To Prep Cryptographic Assets For The Emerging Quantum Era: Quantum computing can render traditional encryption methods obsolete; it’s vital for companies to act now to protect themselves, their digital assets and their customers.",0.208,0.736,0.056,0.6124,Positive
"China leads battery materials as South Korea's Posco Future M faces exit; Lotte eyes LFP mass production: China's battery materials sector is thriving, backed by government subsidies, low electricity costs, and cheaper labor, enabling aggressive investment. In contrast, South Korean firms, lacking comparable support, are struggling with mounting losses and potent…",0.067,0.772,0.161,-0.6597,Negative
"10 Game-Changing Technology Trends Shaping Our Future: From groundbreaking innovations to subtle advancements, these 10 game-changing technology trends shaping our future in profound ways.",0.0,1.0,0.0,0.0,Neutral
"⚡ THN Recap: Top Cybersecurity Threats, Tools and Tips (Dec 2 - 8): This week’s cyber world is like a big spy movie. Hackers are breaking into other hackers’ setups, sneaky malware is hiding in popular software, and AI-powered scams are tricking even the smartest of us. On the other side, the good guys are busting secret onli…",0.216,0.63,0.153,0.5267,Positive
"Breakout Retailer Rises As Analyst Doubles Price Target, Sees Trump Tariffs Benefit: Ollie's Bargain Outlet was handed an upgrade early Wednesday after a slew of price hikes last week.",0.156,0.844,0.0,0.5859,Positive
Sustainability To Resilience: Adapt ESG Strategies In A Changing World: Is ESG officially dead or merely in transition? Is it possible to balance innovation and the pursuit of economic growth with protecting the planet? Some takeaways.,0.133,0.764,0.103,-0.1179,Negative
"Chinese firms take on EV truck challenges: Dominant in the electric car sector, Chinese companies have been quietly consolidating their position in the lesser-watched trucking scene -- but foreign tariffs and a perceived quality gap could signal roadblocks ahead, experts warn. The domestic supply chai…",0.026,0.939,0.036,-0.1154,Negative
5 PR Predictions & Challenges To Navigate In 2025: Here are my top five PR challenges and predictions you can anticipate in 2025 and how you can capitalize on these opportunities for growth.,0.27,0.73,0.0,0.765,Positive
"Donald Trump’s interview with ‘Meet the Press,’ fact-checked: In a Dec. 8 interview on NBC’s “Meet the Press,” President-elect Donald Trump elaborated on plans for removing people in the country illegally and imposing tariffs on trade partners — […]
The post Donald Trump’s interview with ‘Meet the Press,’ fact-checked a…",0.0,0.97,0.03,-0.1027,Negative
"The Colorado River crisis is a threat to Americaâs food supply: The Colorado River, vital for 15% of U.S. agriculture, is shrinking, threatening the nation’s food supply. The Imperial Valley, producing two-thirds of winter vegetables, faces severe water shortages. Shrinking water levels could lead to higher produce prices…",0.038,0.703,0.259,-0.9169,Negative
Asean’s second renaissance is now: As global tensions intensify—from strategic competition to climate disruption—Asean’s collaborative spirit has never been more crucial,0.073,0.812,0.115,-0.25,Negative
"BadBox malware botnet infects 192,000 Android devices despite disruption: The BadBox Android malware botnet has grown to over 192,000 infected devices worldwide despite a recent sinkhole operation that attempted to disrupt the operation in Germany. [...]",0.055,0.861,0.084,-0.2709,Negative
The EU Threatens to Cut Itself off From Another of Its Major Natural Gas Suppliers: Issues with supplies from Qatar — the world's third largest exporter of LNG — could be a major boon for US gas companies.,0.064,0.816,0.12,-0.296,Negative
"How China could try to strangle Taiwan without firing a shot: TAIPEI, Taiwan — When most people imagine what war in the Taiwan Strait might look like, scenes out of eastern Ukraine in 2022 or even Normandy in 1944 tend to come to mind.  Picture transport ships from China facing incoming anti-ship missiles; missile strik…",0.078,0.856,0.067,-0.0936,Negative
"Chinese Firms Take On EV Truck Challenges: Dominant in the electric car sector, Chinese companies have been quietly consolidating their position in the lesser-watched trucking scene -- but foreign tariffs and a perceived quality gap could signal roadblocks ahead, experts warn.",0.028,0.933,0.039,-0.1154,Negative
"Travel Leaders on Trump 2.0… in Three Words or Less: When the cameras are off and PR teams aren’t hovering nearby, what do travel industry CEOs and executives truly think about the prospect of Donald Trump returning to the presidency? We asked — and they didn’t hold back.  -Sarah Kopit",0.098,0.902,0.0,0.6249,Positive
CES 2025: Can Universal Car Connector Revolutionize Automotive Design?: TUC.Technology reckons cars need a universal component connector to make development faster and provide more choice. The concept will be on show at CES 2025.,0.0,1.0,0.0,0.0,Neutral
[Removed]: [Removed],0.0,1.0,0.0,0.0,Neutral
"Cybersecurity in 2025: Global conflict, grown-up AI, and the wisdom of the crowd: As we look ahead to cybersecurity developments in 2025, there’s bad news and good—expect to see new challenging attacks and the cybersecurity community increasingly working together to counter threats that are beyond the scope of individual organizations.
The…",0.081,0.732,0.187,-0.7579,Negative
"Biocodex Strengthens Supply Chain Resilience with Kinaxis: The human microbiota pioneer invests in an agile and transparent supply chain to better meet patient needs OTTAWA, Ontario — Biocodex, a pioneer and leader in human microbiota health, as well as an innovator in pharmaceuticals, has partnered with Kinaxis® Inc…",0.157,0.843,0.0,0.7906,Positive
"What Happens To Neiman Marcus After The Saks Merger?: With the Saks Fifth Avenue-Neiman Marcus Group merger complete, Neiman Marcus is likely to experience the greater disruptions to its business and corporate culture.",0.07,0.864,0.067,0.0258,Neutral
Beyond AI: Preparing For Artificial Superintelligence: The evolution from AI to artificial general intellgence (AGI) to artificial superintelligence (ASI) is upon us. How can executives prepare and chart the course?,0.0,1.0,0.0,0.0,Neutral
"Kinaxis Named a Leader in three IDC MarketScape reports: Recognized for Supply Chain Planning Overall, Supply Chain for Life Sciences Industries and Supply Chain for Discrete Industries OTTAWA, Ontario — Kinaxis® Inc. (TSX: KXS) has been a named a Leader in the IDC MarketScape: Worldwide Supply Chain Planning Overa…",0.0,1.0,0.0,0.0,Neutral
Starboard Systems gets $5.5M funding to automate logistics and quotes for freight forwarders: Logistics optimization software startup Starboard Systems Inc. wants to help freight companies to eliminate global supply chain complexities after closing on a $5.5 million round of funding. The money comes from new investor Eclipse and existing backers Garud…,0.099,0.901,0.0,0.6486,Positive
"Kinaxis Offers a Solution to Streamline Bel’s Supply Chain: OTTAWA, Ontario — Bel Group, a major player in food through dairy, fruit and plant-based healthier eating portions, with iconic international brands such as The Laughing Cow®, Kiri®, Babybel®, Boursin®, Nurishh®, or GoGo squeeZ®, has partnered with Kinaxis® I…",0.113,0.887,0.0,0.6705,Positive
"ITF Group: 2025 Risk Mitigation Strategies Include Proactive Tariff Solutions: ITF Group partners with shippers to increase efficiency and cut costs 
in the face of supply chain disruptions......",0.262,0.62,0.118,0.6249,Positive
"Octapharma Injects Efficiency Into Its Supply Chain With Kinaxis: Global healthcare company will streamline operations and achieve end-to-end supply chain orchestration OTTAWA, Ontario — Octapharma, the largest privately owned company dedicated to the research and development of life-saving or life-altering therapies, has s…",0.121,0.879,0.0,0.6705,Positive
"Kinaxis Announces $40,000 Academic Award to Empower the Next Generation of Supply Chain Innovators: Company gives aspiring supply chain students a boost in honor of its 40th anniversary OTTAWA, Ontario — In celebration of its 40th anniversary, Kinaxis® (TSX:KXS), a global leader in end-to-end supply chain orchestration, today announced a $40,000 academic aw…",0.17,0.83,0.0,0.8555,Positive
"Forging a steady path to progress: NEXT year heralds a pivotal chapter for Asean, with Malaysia assuming the chair. Read full story",0.128,0.872,0.0,0.4215,Positive
"Shipping giant Maersk expects strong demand and 'another year of disruption' for global trade in 2025: The past year has been a strong one for North American import trade demand, and that should continue for both ocean and air cargo into 2025, according to shipping giant Maersk, but so will supply chain disruptions.
After year-on-year growth in North American …",0.117,0.772,0.111,0.3291,Positive
"Why cybersecurity is critical to energy modernization: In this Help Net Security interview, Anjos Nijk, Managing Director of the European Network for Cyber security (ENCS), discusses cybersecurity in the energy sector as it modernizes with renewable sources and smart grid technologies. Nijk also addresses the nee…",0.264,0.695,0.041,0.8891,Positive
"Mysterious outbreak with high fatality rate in the DRC could imperil tech supply chains: Is the industry ready to be tested if the unidentified deadly pathogen spreads beyond rural Kwango Province?
A mystery disease with a fatality rate higher than COVID-19 has broken out in the Democratic Republic of the Congo (DRC), and while the global pandemi…",0.038,0.777,0.184,-0.891,Negative
"Weekly news roundup: global semiconductor shifts deepen as US probes China's chip sector, Taiwan eyes AI boom: Semiconductor Week in Review (Dec 22 - 28) :",0.0,1.0,0.0,0.0,Neutral
Why Trump's tariffs on Mexico would mean higher avocado prices at the grocery store: Most avocados consumed in the U.S. are grown in Mexico. Here's what Trump's proposed tariffs would mean for prices at the grocery store and for the avocado industry.,0.0,1.0,0.0,0.0,Neutral
"Shipping giant Maersk expects strong demand and 'another year of disruption' for global trade in 2025: From Trump tariffs on China and Mexico to the threat of a U.S. ports strike, the supply chain expects another year of disruption, but also strong demand.",0.131,0.673,0.197,0.1655,Positive
"NTT DATA and Kinaxis Collaborate to Transform Supply Chain Modernization: NTT DATA joins the Kinaxis partner ecosystem to boost digital transformation in supply chain orchestration OTTAWA, Ontario & TOKYO — NTT DATA Japan, a part of NTT Group, and a trusted innovator of IT and business services, has partnered with Kinaxis® (TSX:KXS…",0.112,0.888,0.0,0.7003,Positive
"Sony Is Locking Down Its Bid to Buy Kadokawa As the Anime Industry Faces an Emerging Monopoly: With Sony eyeing the Kadokawa Group, the anime industry's future hangs in the balance as concerns over content control and competition heat up.",0.0,1.0,0.0,0.0,Neutral
"Increasing capacity and meeting decarbonisation goals – can it be done?: Here, Sheena Patel, director and EV sector specialist at Vendigital, discusses the cost and infrastructure considerations of switching to an all-electric...",0.0,1.0,0.0,0.0,Neutral
Considering A Foreign Investment? 20 Factors To Assess The Market: Business leaders seek stability and predictability in foreign investment.,0.0,1.0,0.0,0.0,Neutral
19 Key Business Lessons On Resilience And Adaptability: Accepting what is within their control can help professionals see opportunity and become more flexible in a given situation.,0.319,0.681,0.0,0.8516,Positive
REPLY: LEA Reply™ Reinforces its Supply Chain Resilience with AWS Foundational Technical Review Achievement: REPLY: LEA Reply™ Reinforces its Supply Chain Resilience with AWS Foundational Technical Review Achievement,0.0,1.0,0.0,0.0,Neutral
"Europe Ramps Up Natural Gas Reserves to Protect the Continent’s Energy Security: As temperatures across Europe plummet this winter, people around the continent are reminded of the importance of a secure supply of natural gas to keep their homes warm. In November, Europe’s natural gas storage capacity was 95 percent full, marking a recogni…",0.332,0.668,0.0,0.9545,Positive
"The interdependency of supply chains — a closer look at critical materials: The management of supply chain challenges, particularly with new and raw materials, is complex but essential to driving opportunities
The post The interdependency of supply chains — a closer look at critical materials appeared first on Digital Journal.",0.089,0.821,0.09,-0.0129,Neutral
"12 Predictions For 2025 That Will Shape Our Future: Explore 12 bold predictions for 2025, where AI, robotics, and space exploration will transform industries and disrupt the global economy. Uncover it will shape the future",0.12,0.88,0.0,0.5423,Positive
"RH to open 9 new design galleries next year in North America, Europe: The luxury home furnishings retailer also said possible tariff spikes are unlikely to affect margins as it works to eliminate sourcing from China.",0.0,1.0,0.0,0.0,Neutral
"UN draft resolution on agriculture expresses concerns over higher fertiliser costs: It highlights the adverse effects of volatile food prices, rising agricultural input costs, and disrupted supply chains, particularly on developing countries",0.0,0.925,0.075,-0.3612,Negative
"Biopharma Industry Outlook For 2025: Metabolic medicines dominated life sciences headlines in 2024, a trend expected to continue into the new year. Other things to look for include more widespread adoption of artificial intelligence technologies and the IPO market’s return to normal levels.
The …",0.069,0.931,0.0,0.4767,Positive
"Shiplify Recognized with 2024 Top Software and Technology Solutions Award: ATLANTA, Dec. 17, 2024 (GLOBE NEWSWIRE) -- Shiplify, the leading accessorial revenue identifier for carriers, shippers, and third-party logistics (3PL) providers, today announced the company’s recognition as a recipient of the 2024 Top Software and Technology…",0.177,0.823,0.0,0.7783,Positive
"War and disruption should be avoided, global priority to restore normalcy: FM Sitharaman: Finance Minister Nirmala Sitharaman said it has led to supply chain disruptions, and inflation is the biggest challenge globally",0.086,0.639,0.275,-0.8271,Negative
New Impinj Research Reveals Top Headaches for Supply Chain Managers for 2025: New Impinj Research Reveals Top Headaches for Supply Chain Managers for 2025,0.141,0.859,0.0,0.3818,Positive
The Rise and Future Fall of MicroStrategy: My interest in the story of MicroStrategy started out tangential at first — it was just one of many unconventional outcomes born out of the rising Bitcoin phenomenon. The publicly traded company…,0.075,0.925,0.0,0.4588,Positive
"How to find the most affordable car insurance: Auto insurance costs are rising, but drivers can still find affordable car insurance with the help of these tips.",0.12,0.88,0.0,0.5499,Positive
"TCS 2025 Predictions: 2025 Cybersecurity Outlook - GenAI, Cloud Security, and 'Zero Trust' Will Remain Key Priorities for Enterprises: Industry executives and experts share their predictions for 2025. Read them in this 17th annual VMblog.com series exclusive. By Ganesa Subramanian... Read more at VMblog.com.",0.194,0.806,0.0,0.8126,Positive
"US Dockworkers, Port Employers Set to Restart Talks Next Week: Leaders from a US dockworkers’ union and the group that represents their employers are set to resume contract talks on Jan. 7 as the threat of a strike looms, according to a person familiar with the negotiations. Facing a mid-January …",0.0,0.866,0.134,-0.6705,Negative
"Armis 2025 Predictions: A CISO's Perspective on the 2025 Cybersecurity Landscape: Below are several themes I believe will occupy the cybersecurity space for security and IT leaders in 2025, which I hope will help teams prioritize their efforts when tackling the ever-changing cyber threat landscape.",0.162,0.769,0.069,0.5574,Positive
"Emerging Trends in Spend Management Shaping 2025: We've identified key trends in spend management for 2025, including AI-driven procurement, process orchestration, and new leadership.",0.0,1.0,0.0,0.0,Neutral
"Tech Failures: A Good Reason to Have Delayed Cargo Insurance: It is not a stretch to say that modern commerce runs at the speed of digital technology. For the most part, our tech doesn't let us down. It... Read more at VMblog.com.",0.065,0.826,0.109,-0.25,Negative
Beef Prices Are Surging—And Could Be About to Get Even Higher: Experts have told Newsweek that Donald Trump's flagship immigration policy could drive up prices.,0.055,0.945,0.0,0.1027,Positive
"Oatly Announces Further Progress on its Asset-Light Supply Chain Strategy: MALMÖ, Sweden, Dec. 18, 2024 (GLOBE NEWSWIRE) -- Oatly Group AB (Nasdaq: OTLY) (“Oatly” or the “Company”), the world’s original and largest oat drink company, today announced the closure of its Singapore facility in the Europe & International segment. This ac…",0.096,0.904,0.0,0.6249,Positive
RM50mil worth of bird’s nest set to fly away: PETALING JAYA: Malaysian producers of bird’s nest fear that they will miss the golden opportunity to export about RM50mil worth of the delicacy to China in time for Chinese New Year after the Newcastle disease virus was detected in Malaysia. Read full story,0.113,0.805,0.082,0.2023,Positive
"“Our commitment in the electronics and semiconductor space is about $18 billion,” N Chandrasekaran, Chairman, Tata Sons: Tata group invests $18 billion in electronics and semiconductors, aiming for precision manufacturing and top-class Air India.",0.075,0.925,0.0,0.3818,Positive
"“Our commitment to electronics and semiconductors is $18 billion,” says Tata Sons Chairman N Chandrasekaran: Tata group invests $18 billion in electronics and semiconductors, aiming for precision manufacturing and top-class Air India.",0.08,0.92,0.0,0.3818,Positive
"An Post expecting 350,000 parcels from UK in 24 hours as retailers deal with Holyhead closure: An Post will be delivering up to Christmas Eve all parcels received by 21 December.",0.0,1.0,0.0,0.0,Neutral
Inflation global challenge; restoring normalcy top priority: FM Nirmala Sitharaman: India's finance minister called for global peace and dialogue.  She highlighted the economic impact of conflicts.  Supply chain disruptions and inflation are key concerns.  Sitharaman emphasized aligning economic and political strategies.  She advocated for s…,0.167,0.739,0.095,0.4215,Positive
"Crowdbotics 2025 Predictions: AI-Powered (R)evolution - Learning from History to Navigate the Future: Industry executives and experts share their predictions for 2025. Read them in this 17th annual VMblog.com series exclusive. By Cory Hymel, VP of... Read more at VMblog.com.",0.091,0.909,0.0,0.4019,Positive
